Date,Close/Last,Volume,Open,High,Low
04/14/2020,$358.26,713538,$364.45,$365.88,$353.23
04/13/2020,$355.14,755364,$344.55,$357.97,$338.71
04/09/2020,$343.64,641638,$348,$352.215,$340.53
04/08/2020,$343.83,688196,$338.89,$344.965,$333.19
04/07/2020,$333.96,737757,$347.28,$351.91,$333.82
04/06/2020,$338.52,805563,$340,$340.84,$330.43
04/03/2020,$328.23,571977,$333,$338.36,$325.1
04/02/2020,$333.45,772315,$330.22,$341.57,$321.5
04/01/2020,$333.77,1200267,$312.01,$337.83,$310.34
03/31/2020,$324.07,2097316,$325,$330.84,$321
03/30/2020,$346.75,954409,$338.65,$353.42,$333.51
03/27/2020,$338.74,646226,$328.83,$341.99,$326.06
03/26/2020,$338.51,870958,$323.5,$342,$317.82
03/25/2020,$321.45,963111,$345.48,$349.68,$320.81
03/24/2020,$343.56,881279,$341.12,$349,$333.16
03/23/2020,$323.87,1340560,$310.91,$336.8,$294.21
03/20/2020,$299.95,1802811,$326.91,$344.2,$298.14
03/19/2020,$323.14,1423157,$292,$337.22,$289.337
03/18/2020,$290,1099200,$296.54,$303.8709,$275.22
03/17/2020,$298.74,1183390,$291.64,$314.9598,$282.03
03/16/2020,$286.32,1089089,$297.43,$311.53,$283.6
03/13/2020,$316.63,1208638,$328.39,$329.075,$297.315
03/12/2020,$317.11,1139154,$308.02,$329.615,$300
03/11/2020,$332.66,889533,$338.3,$344.72,$332.03
03/10/2020,$343.95,857107,$337.79,$347.32,$328.5
03/09/2020,$336.67,1267589,$321.56,$340.18,$314
03/06/2020,$336.41,853713,$325.36,$337.23,$320.75
03/05/2020,$333.03,828372,$338.18,$340.59,$329.16
03/04/2020,$341.89,740955,$341.95,$345.86,$334.23
03/03/2020,$339.47,846735,$349.48,$350,$336.19
03/02/2020,$347.52,863609,$340.22,$348.52,$333.79
02/28/2020,$339.46,2077605,$341.1,$345.72,$333.91
02/27/2020,$347.86,1090771,$361.05,$361.05,$347.73
02/26/2020,$366.67,1107229,$371.87,$377.33,$366.38
02/25/2020,$368.66,2437426,$363.71,$379.58,$363.71
02/24/2020,$363.01,1222306,$355.51,$366.89,$354.625
02/21/2020,$371.96,1645309,$366.01,$374,$362.9705
02/20/2020,$373.16,5009664,$362.03,$381.86,$356.96
02/19/2020,$297.1,1175986,$297.99,$301.77,$295.39
02/18/2020,$295.78,874676,$293.24,$297.215,$291.8736
02/14/2020,$291.6,780625,$285.97,$293.15,$284.01
02/13/2020,$286.03,520670,$279.37,$287.21,$279.37
02/12/2020,$281.03,891301,$275.52,$282.97,$274.99
02/11/2020,$275.75,752393,$275,$278,$273.59
02/10/2020,$274.85,684755,$275.52,$276.95,$273.6005
02/07/2020,$275.51,1368189,$284.46,$284.46,$274.32
02/06/2020,$279.41,796163,$278.37,$280.71,$275.35
02/05/2020,$278.01,1080602,$275,$278.99,$274.16
02/04/2020,$273.4,1057039,$272.65,$274.54,$271.65
02/03/2020,$270.75,926376,$282.51,$282.95,$270.08
01/31/2020,$281.75,738273,$282.95,$282.95,$276.86
01/30/2020,$282.4,645624,$284.02,$284.95,$280.02
01/29/2020,$285.47,361521,$285.1,$286.97,$282.07
01/28/2020,$284.18,328070,$283.07,$287.12,$283.07
01/27/2020,$282.89,756261,$282.08,$287.2,$281.22
01/24/2020,$285.1,479082,$289.25,$289.25,$280.66
01/23/2020,$288.02,518588,$285.49,$289.01,$284.5
01/22/2020,$285.91,456318,$286.53,$288.82,$285.61
01/21/2020,$285.11,625270,$286.46,$286.66,$282.34
01/17/2020,$286.47,475881,$287.36,$288.87,$285.63
01/16/2020,$287.36,494814,$289.31,$290.93,$286.95
01/15/2020,$288.57,619573,$284.97,$292.58,$284.79
01/14/2020,$285.12,784036,$284.03,$291,$284.03
01/13/2020,$284,726219,$289.57,$290.71,$283.37
01/10/2020,$289.09,933402,$290.78,$291.35,$287.1
01/09/2020,$288.9,994195,$292.29,$293.66,$287.78
01/08/2020,$290.56,543019,$291.19,$292.2,$288.875
01/07/2020,$291.85,511613,$291.7,$293.25,$290.88
01/06/2020,$293.95,525408,$294,$294.38,$291.78
01/03/2020,$294.67,490812,$291.72,$295.26,$290.78
01/02/2020,$293.4,500003,$293.79,$295.1,$292.13
12/31/2019,$293.78,518985,$292.69,$295.9662,$292.69
12/30/2019,$293.25,451637,$292.41,$294.26,$290.68
12/27/2019,$292.31,455823,$293.26,$294.207,$291.44
12/26/2019,$292.24,276112,$290.31,$294.05,$288.85
12/24/2019,$289.64,265121,$288.26,$290.685,$287.55
12/23/2019,$288.27,618655,$292.42,$293.565,$288.03
12/20/2019,$292,571702,$293.07,$293.07,$290.96
12/19/2019,$292,1295697,$285.92,$293.55,$284.92
12/18/2019,$284.32,1127766,$289,$291.0395,$283.46
12/17/2019,$291.75,1045540,$292.73,$292.73,$289.71
12/16/2019,$292.15,756365,$295.01,$296.22,$291.79
12/13/2019,$294.93,450557,$295.28,$298.335,$293.03
12/12/2019,$296.65,571114,$292.95,$297.33,$292.6145
12/11/2019,$293.62,1162342,$285.26,$294.4,$285.26
12/10/2019,$285.24,1144247,$287.05,$287.8,$283.4
12/09/2019,$286.37,766451,$286.61,$288.64,$285.16
12/06/2019,$286.57,474591,$288.58,$289.08,$286.41
12/05/2019,$286.87,674711,$287.88,$288.88,$285.6
12/04/2019,$286,1307014,$283.85,$288.9,$282.66
12/03/2019,$284.09,962572,$290,$292.315,$283.7
12/02/2019,$294.05,949700,$296.26,$298.98,$293.14
11/29/2019,$294.3,340904,$295.42,$297.1813,$293.8
11/27/2019,$295.33,571772,$290.4,$295.89,$288.54
11/26/2019,$289.14,1071115,$292.96,$296.25,$287.56
11/25/2019,$293,536448,$288.8,$293.09,$287.9671
11/22/2019,$285.76,392016,$284.38,$287.35,$283.214
11/21/2019,$284.05,1068485,$288.24,$290.76,$283.06
11/20/2019,$288.24,630843,$286.49,$289.81,$285.76
11/19/2019,$285.74,491367,$284.62,$288.305,$283.65
11/18/2019,$284.61,832013,$281.22,$285.57,$280.215
11/15/2019,$281.41,644648,$280.04,$282.35,$277.12
11/14/2019,$278.66,512652,$278.69,$281.7,$276.815
